4121792,71927,19,3,0,1,2,4
450,4183428,8852,2,0,2,2,4
0,2651,4184744,8421,1,0,5,2
0,0,10779,4180450,4320,0,6,3
0,0,0,12582,4182741,644,6,3
0,0,0,0,63387,4127557,584,4
0,0,0,0,0,55975,4139226,113
0,0,0,0,0,6,136414,4057320
4104211,89508,19,3,0,1,2,4
365,4175641,16723,3,0,2,2,4
0,1575,4176770,17471,1,0,6,1
0,0,5383,4180647,9519,0,6,3
0,0,0,6003,4188609,1355,5,4
0,0,0,0,38143,4152600,786,3
0,0,0,0,0,46126,4149127,61
0,0,0,0,0,6,154877,4038857
4099722,93994,20,5,0,1,2,4
362,4173118,19249,3,0,2,2,4
0,1461,4174196,20159,1,0,6,1
0,0,4649,4179343,11557,0,5,4
0,0,0,5120,4189243,1604,6,3
0,0,0,0,33853,4156759,918,2
0,0,0,0,0,42277,4152988,49
0,0,0,0,0,4,153732,4040004
4097973,95744,20,4,0,1,2,4
324,4172367,20038,3,0,2,3,3
0,1415,4172911,21490,1,0,6,1
0,0,4352,4178929,12268,0,6,3
0,0,0,4808,4189409,1750,6,3
0,0,0,0,32406,4158209,914,3
0,0,0,0,0,41141,4154112,61
0,0,0,0,0,4,153434,4040302
4099090,94628,19,4,0,1,2,4
359,4172678,19692,3,0,2,2,4
0,1447,4173171,21198,1,0,6,1
0,0,4481,4178843,12225,0,6,3
0,0,0,4816,4189439,1712,6,3
0,0,0,0,32307,4158343,879,3
0,0,0,0,0,42303,4152965,46
0,0,0,0,0,5,157893,4035842
4097424,96294,19,4,0,1,2,4
345,4171799,20585,3,0,2,3,3
0,1414,4171747,22655,1,0,6,1
0,0,4176,4178304,13069,0,5,4
0,0,0,4571,4189550,1846,5,4
0,0,0,0,30962,4159646,921,3
0,0,0,0,0,40621,4154641,52
0,0,0,0,0,6,155288,4038446
4097239,96478,20,4,0,1,2,4
341,4171514,20874,3,0,2,4,2
0,1385,4171602,22829,1,0,6,1
0,0,4122,4178249,13178,0,5,4
0,0,0,4459,4189681,1827,6,3
0,0,0,0,30982,4159617,931,2
0,0,0,0,0,41250,4154012,52
0,0,0,0,0,3,158833,4034904
4102422,91295,20,4,0,2,1,4
365,4173836,18528,3,0,2,1,5
0,1523,4174188,20105,1,0,6,1
0,0,4778,4179174,11597,0,5,4
0,0,0,4912,4189430,1625,6,3
0,0,0,0,33813,4156910,806,3
0,0,0,0,0,45405,4149861,48
0,0,0,0,0,6,171302,4022432
4099604,94113,19,5,0,2,1,4
341,4172663,19725,3,0,2,2,4
0,1431,4172702,21683,1,0,6,1
0,0,4422,4178535,12592,0,6,3
0,0,0,4753,4189499,1715,6,3
0,0,0,0,32877,4157809,843,3
0,0,0,0,0,44203,4151064,47
0,0,0,0,0,4,168164,4025572
4099605,94113,19,4,0,1,2,4
361,4172394,19974,3,0,2,3,3
0,1429,4172542,21845,1,0,6,1
0,0,4417,4178414,12718,0,5,4
0,0,0,4744,4189437,1786,6,3
0,0,0,0,32648,4158030,852,2
0,0,0,0,0,44647,4150624,43
0,0,0,0,0,5,169052,4024683
4096551,97168,17,5,0,1,2,4
348,4170975,21406,3,0,2,4,2
0,1364,4171077,23375,1,0,6,1
0,0,4123,4177940,13486,0,5,4
0,0,0,4390,4189679,1898,6,3
0,0,0,0,31206,4159420,903,3
0,0,0,0,0,42672,4152601,41
0,0,0,0,0,5,165455,4028280
4098863,94855,18,5,0,1,2,4
352,4172002,20375,3,0,2,3,3
0,1447,4172236,22133,1,0,6,1
0,0,4373,4178563,12613,0,6,3
0,0,0,4764,4189510,1693,6,3
0,0,0,0,33922,4156788,819,3
0,0,0,0,0,47111,4148162,41
0,0,0,0,0,4,175120,4018616
4098056,95661,19,5,0,1,2,4
338,4171677,20714,3,0,2,3,3
0,1389,4171797,22630,1,0,6,1
0,0,4252,4178286,13011,0,5,4
0,0,0,4687,4189568,1712,6,3
0,0,0,0,33282,4157425,823,2
0,0,0,0,0,46353,4148919,42
0,0,0,0,0,5,174444,4019291
4098971,94747,18,5,0,1,2,4
336,4172321,20072,3,0,2,2,4
0,1435,4172431,21951,0,0,6,1
0,0,4342,4178677,12530,0,5,4
0,0,0,4858,4189433,1676,6,3
0,0,0,0,34469,4156252,809,2
0,0,0,0,0,48207,4147065,42
0,0,0,0,0,7,180197,4013536
4098681,95036,20,4,0,1,2,4
354,4172229,20146,3,0,2,2,4
0,1388,4173050,21378,1,0,6,1
0,0,4546,4179292,11711,0,6,3
0,0,0,5235,4189328,1404,6,3
0,0,0,0,37938,4152949,643,2
0,0,0,0,0,51792,4143484,38
0,0,0,0,0,7,182477,4011256
4102616,91104,17,4,0,1,2,4
376,4173716,18637,3,0,2,3,3
0,1557,4174737,19522,1,0,6,1
0,0,4931,4179668,10950,0,6,3
0,0,0,5685,4188984,1298,6,3
0,0,0,0,41064,4149851,616,1
0,0,0,0,0,56998,4138268,48
0,0,0,0,0,6,195430,3998304
